                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                 1.1344,                0.71116,                  1.033,                0.88381,                0.64929,                0.72718,                0.46737,                 1.2549,                0.74814,                 1.1313,             0.00082441,             0.00082441,             0.00082441
                     49,                  1.137,                0.70042,                 1.0426,                0.83089,                0.65441,                0.73058,                0.46968,                  1.231,                 0.7299,                 1.1086,             0.00082261,             0.00082261,             0.00082261
                     50,                 1.1025,                0.68238,                 1.0237,                0.79334,                0.64954,                 0.7079,                0.47788,                  1.232,                0.73202,                 1.0954,             0.00082081,             0.00082081,             0.00082081
                     51,                 1.0953,                0.67891,                 1.0291,                0.81574,                0.68358,                0.75077,                0.53372,                 1.2146,                0.71581,                 1.0938,             0.00081901,             0.00081901,             0.00081901
                     52,                 1.1123,                0.67769,                 1.0255,                0.64591,                0.71163,                0.73913,                0.50955,                 1.1992,                0.69841,                 1.0951,             0.00081721,             0.00081721,             0.00081721
                     53,                 1.1047,                0.67351,                 1.0237,                0.89657,                0.69144,                0.75371,                0.49173,                 1.2223,                0.69747,                 1.1096,             0.00081541,             0.00081541,             0.00081541
                     54,                 1.0855,                0.66613,                 1.0212,                0.84605,                0.64506,                0.71132,                0.47186,                 1.2012,                0.69129,                 1.0881,             0.00081361,             0.00081361,             0.00081361
                     55,                 1.1056,                  0.675,                 1.0283,                0.77072,                0.65246,                0.72859,                0.47744,                 1.2329,                0.72798,                  1.103,             0.00081181,             0.00081181,             0.00081181
                     56,                 1.0855,                0.66356,                  1.016,                0.80766,                0.71313,                0.73558,                0.49949,                   1.24,                0.69253,                 1.1196,             0.00081001,             0.00081001,             0.00081001
                     57,                 1.0749,                0.65617,                 1.0167,                0.85048,                0.68908,                0.73749,                0.50853,                  1.219,                0.73721,                 1.1059,             0.00080821,             0.00080821,             0.00080821
                     58,                 1.0848,                0.65671,                 1.0195,                0.80161,                0.72718,                0.75523,                0.50364,                 1.2195,                0.69333,                  1.107,             0.00080641,             0.00080641,             0.00080641
                     59,                 1.0655,                0.64713,                 1.0062,                0.87759,                0.67643,                0.76078,                0.50568,                 1.2243,                0.71347,                 1.1215,             0.00080461,             0.00080461,             0.00080461
                     60,                 1.0376,                0.64511,                 1.0052,                0.83282,                0.65134,                0.72782,                0.50139,                 1.2382,                0.71279,                 1.1214,             0.00080281,             0.00080281,             0.00080281
                     61,                 1.0515,                0.63637,                 1.0094,                0.91069,                0.66218,                0.75347,                0.50256,                 1.2117,                0.68162,                 1.1017,             0.00080101,             0.00080101,             0.00080101
                     62,                 1.0754,                0.64688,                 1.0055,                0.83377,                0.69094,                0.75181,                0.49813,                 1.2407,                0.69701,                 1.1242,             0.00079921,             0.00079921,             0.00079921
                     63,                 1.0582,                0.64284,                  1.008,                0.84503,                0.67996,                0.74748,                 0.5082,                 1.2447,                0.71656,                 1.1256,             0.00079741,             0.00079741,             0.00079741
                     64,                 1.0455,                0.62895,                 1.0047,                0.69147,                0.75721,                0.75172,                0.50737,                 1.1935,                0.69886,                 1.0961,             0.00079561,             0.00079561,             0.00079561
                     65,                 1.0327,                0.61867,                 0.9984,                 0.8061,                0.67248,                0.76874,                0.52939,                 1.1911,                0.67206,                 1.0984,             0.00079381,             0.00079381,             0.00079381
                     66,                 1.0469,                 0.6291,                 1.0069,                0.70364,                0.74864,                0.73867,                0.49541,                 1.1947,                0.72419,                 1.1033,             0.00079201,             0.00079201,             0.00079201
                     67,                 1.0248,                0.61618,                0.99791,                0.82294,                0.70576,                 0.7638,                0.52735,                  1.206,                0.67163,                 1.1047,             0.00079021,             0.00079021,             0.00079021
                     68,                 1.0288,                0.62071,                  1.008,                0.85937,                 0.6492,                0.74302,                0.51481,                 1.2331,                0.69965,                 1.1052,             0.00078841,             0.00078841,             0.00078841
                     69,                 1.0411,                 0.6218,                0.99423,                0.83277,                0.75647,                 0.7916,                0.53899,                 1.2233,                0.67054,                 1.1087,             0.00078661,             0.00078661,             0.00078661
                     70,                 1.0182,                0.60829,                 0.9933,                0.87168,                0.73994,                0.79808,                 0.5449,                 1.2343,                0.67628,                 1.1099,             0.00078481,             0.00078481,             0.00078481
                     71,                 1.0049,                0.61283,                0.98197,                0.78382,                0.73268,                0.77189,                0.50649,                 1.2584,                0.73519,                 1.1239,             0.00078301,             0.00078301,             0.00078301
                     72,                  1.028,                 0.6176,                0.99235,                0.75931,                0.73864,                0.78306,                0.53423,                 1.2228,                0.68769,                 1.1103,             0.00078121,             0.00078121,             0.00078121
                     73,                 1.0097,                0.61907,                0.99488,                0.87333,                0.69414,                0.76655,                0.51765,                 1.2082,                0.68185,                 1.1077,             0.00077941,             0.00077941,             0.00077941
                     74,                0.99658,                0.60967,                0.98621,                0.90322,                0.67376,                0.74546,                0.50531,                 1.1909,                0.69626,                 1.0922,             0.00077761,             0.00077761,             0.00077761
                     75,                 1.0019,                0.61735,                0.98283,                0.73125,                0.67413,                0.71431,                0.47951,                 1.1852,                0.69314,                 1.1002,             0.00077581,             0.00077581,             0.00077581
                     76,                0.99618,                0.59744,                0.98815,                0.86604,                0.66142,                0.72493,                0.50592,                 1.2168,                0.67638,                 1.1112,             0.00077401,             0.00077401,             0.00077401
                     77,                0.99169,                0.59914,                0.98728,                0.85361,                0.66103,                0.72951,                 0.4938,                 1.2156,                0.69998,                 1.1135,             0.00077221,             0.00077221,             0.00077221
